,S_NO,SESSION,SEX,DOB,STATE,HALL,SPONSOR,MOE,TOT UNITS REG,TOT UNITS PASSED,UNIT NOT IN,FAC REQ,DEPT REQ,TOTAL WGP,CGPA,CLASS OF DEG,CLASS LABEL
0,1,2013/14,F,1994-05-09,OYO,AWO,PARENT,UME,166,166,0,Yes,Yes,833,5.0,21,2ND CLASS UPPER
1,2,2013/14,M,1992-09-20,OSUN,KUTI,PARENT,UME,172,158,0,Yes,Yes,508,3.0,22,2ND CLASS LOWER
2,3,2013/14,M,1993-03-13,OYO,OFF-CAMPUS,PARENT,UME,166,151,0,Yes,Yes,621,3.7,22,2ND CLASS LOWER
3,4,2013/14,F,1996-12-19,OYO,OFF-CAMPUS,PARENT,UME,169,166,0,Yes,Yes,881,5.2,21,2ND CLASS UPPER
4,5,2013/14,F,1991-02-02,KWARA,IDIA,PARENT,UME,166,166,0,Yes,Yes,881,5.3,21,2ND CLASS UPPER
5,6,2013/14,F,1993-05-30,KWARA,QUEENS,PARENTS,UME,166,163,0,Yes,Yes,645,3.9,22,2ND CLASS LOWER
6,7,2013/14,M,1993-08-02,OSUN,KUTI,PARENT,UME,166,166,0,Yes,Yes,1023,6.2,1st,FIRST CLASS
7,8,2013/14,M,1993-09-04,OSUN,ZIK,PARENT,UME,172,156,0,Yes,Yes,561,3.3,22,2ND CLASS LOWER
8,9,2013/14,F,1992-10-03,DELTA,QUEENS,PARENTS,UME,166,166,0,Yes,Yes,689,4.2,22,2ND CLASS LOWER
9,10,2013/14,F,1993-01-30,EDO,QUEENS,PARENTS,UME,166,149,0,Yes,Yes,516,3.1,22,2ND CLASS LOWER
10,11,2013/14,F,1987-07-03,EKITI,IDIA,PARENTS,UME,166,166,0,Yes,Yes,593,3.6,22,2ND CLASS LOWER
11,12,2013/14,M,1992-09-27,ONDO,MELLANBY,PARENT,UME,175,149,0,Yes,Yes,461,2.6,22,2ND CLASS LOWER
12,13,2013/14,M,1993-12-17,OSUN,ZIK,PARENT,UME,170,170,0,Yes,Yes,949,5.6,21,2ND CLASS UPPER
13,14,2013/14,M,1992-02-04,LAGOS,INDEPENDEN,PARENT,UME,188,119,0,No,No,312,0.0,0,FNG
14,15,2013/14,M,1982-09-28,OYO,TEDDER,PARENT,UME,172,148,0,Yes,Yes,483,2.8,22,2ND CLASS LOWER
15,16,2013/14,M,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,178,130,0,Yes,No,438,0.0,0,FNG
16,17,2013/14,F,1993-12-14,OGUN,AWO,PARENT,UME,170,163,0,Yes,Yes,653,3.8,22,2ND CLASS LOWER
17,18,2013/14,F,1991-08-01,OYO,IDIA,PARENTS,UME,169,162,0,Yes,Yes,537,3.2,22,2ND CLASS LOWER
18,19,2013/14,M,1993-02-11,OYO,TEDDER,PARENTS,UME,166,166,0,Yes,Yes,1006,6.1,1st,FIRST CLASS
19,20,2013/14,F,1993-04-11,OGUN,IDIA,PARENTS,UME,166,145,0,Yes,Yes,494,3.0,22,2ND CLASS LOWER
20,21,2013/14,M,1986-08-18,KWARA,MELLAMBY,PARENTS,UME,178,150,0,Yes,Yes,419,2.4,3rd,3RD CLASS
21,22,2013/14,M,1994-03-06,ONDO,TEDDER,PARENT,UME,178,130,0,Yes,No,374,0.0,0,FNG
22,23,2013/14,M,1996-12-19,OYO,OFF-CAMPUS,PARENT,UME,176,135,0,Yes,No,462,0.0,0,FNG
23,24,2013/14,M,1993-04-14,EKITI,BELLO,PARENTS,UME,169,163,0,Yes,Yes,598,3.5,22,2ND CLASS LOWER
24,25,2013/14,M,1994-02-15,DELTA,KUTI,PARENTS,UME,165,158,0,Yes,Yes,663,4.0,22,2ND CLASS LOWER
25,26,2013/14,M,1993-06-07,OYO,BELLO,PARENT,UME,179,146,0,Yes,Yes,401,2.2,3rd,3RD CLASS
26,27,2013/14,F,1992-04-24,OYO,QUEENS,PARENT,UME,166,166,0,Yes,Yes,781,4.7,21,2ND CLASS UPPER
27,28,2013/14,M,1993-04-17,OSUN,BELLO,PARENT,UME,170,170,0,Yes,Yes,936,5.5,21,2ND CLASS UPPER
28,29,2013/14,M,1993-04-14,KWARA,MELLANBY,PARENT,UME,179,143,0,Yes,Yes,492,2.7,22,2ND CLASS LOWER
29,30,2013/14,M,1993-10-13,OYO,TEDDER,PARENTS,UME,186,158,0,Yes,Yes,606,3.3,22,2ND CLASS LOWER
30,31,2013/14,M,1994-01-06,EKITI,MELLANBY,PARENT,UME,166,166,0,Yes,Yes,802,4.8,21,2ND CLASS UPPER
31,32,2013/14,M,1994-01-10,LAGOS,MELLAMBY,PARENTS,UME,170,106,0,No,No,310,0.0,0,FNG
32,33,2013/14,F,1988-01-19,ENUGU,IDIA,PARENTS,UME,170,166,0,Yes,Yes,750,4.4,22,2ND CLASS LOWER
33,34,2013/14,F,1992-10-31,AKWA,AWO,PARENT,UME,166,166,0,Yes,Yes,773,4.7,21,2ND CLASS UPPER
34,35,2013/14,F,1989-04-21,ANAMBRA,IDIA,PARENT,UME,170,163,0,Yes,Yes,596,3.5,22,2ND CLASS LOWER
35,36,2013/14,M,1991-12-12,OSUN,KUTI,PARENT,UME,179,152,0,Yes,Yes,625,3.5,22,2ND CLASS LOWER
36,37,2013/14,M,1992-06-29,OYO,INDEPENDEN,PARENT,UME,178,159,0,Yes,Yes,527,3.0,22,2ND CLASS LOWER
37,38,2013/14,M,1994-03-25,OYO,KUTI,PARENTS,UME,169,162,0,Yes,Yes,699,4.1,22,2ND CLASS LOWER
38,39,2013/14,F,1992-04-14,OSUN,IDIA,PARENT,UME,170,167,0,Yes,Yes,685,4.0,22,2ND CLASS LOWER
39,40,2013/14,M,1992-10-14,OGUN,TEDDER,PARENT,UME,166,155,0,Yes,Yes,722,4.3,22,2ND CLASS LOWER
40,41,2013/14,M,1990-05-23,OYO,INDY,PARENTS,UME,166,166,0,Yes,Yes,757,4.6,21,2ND CLASS UPPER
41,42,2013/14,M,1900-11-23,ABIA,ZIK,PARENTS,UME,166,166,0,Yes,Yes,772,4.7,21,2ND CLASS UPPER
42,43,2013/14,F,1992-05-04,KWARA,AWO,PARENT,UME,166,156,0,Yes,Yes,454,2.7,22,2ND CLASS LOWER
43,44,2013/14,M,1993-03-13,ONDO,INDY,PARENT,UME,180,153,0,Yes,Yes,519,2.9,22,2ND CLASS LOWER
44,45,2013/14,M,1991-02-15,LAGOS,ZIK,PARENT,UME,169,147,0,Yes,Yes,466,2.8,22,2ND CLASS LOWER
45,46,2013/14,M,1993-05-07,ENUGU,INDEPENDEN,PARENT,UME,182,141,0,Yes,Yes,508,2.8,22,2ND CLASS LOWER
46,47,2013/14,M,1991-07-17,DELTA,KUTI,PARENT,UME,173,170,0,Yes,Yes,705,4.1,22,2ND CLASS LOWER
47,48,2013/14,M,1993-09-03,ONDO,KUTI,PARENT,UME,166,163,0,Yes,Yes,862,5.2,21,2ND CLASS UPPER
48,49,2013/14,M,1994-06-03,OYO,BELLO,PARENTS,UME,166,162,0,Yes,Yes,794,4.8,21,2ND CLASS UPPER
49,50,2013/14,M,1994-03-03,OGUN,INDEPENDEN,PARENTS,UME,166,166,0,Yes,Yes,1031,6.2,1st,FIRST CLASS
